@relation 'datasets_45152_82501_insurance_claims-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R3-4,18,24-25-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 10'

@attribute incident_severity {'Major Damage','Minor Damage','Total Loss','Trivial Damage'}
@attribute insured_hobbies {sleeping,reading,board-games,bungie-jumping,base-jumping,golf,camping,dancing,skydiving,movies,hiking,yachting,paintball,chess,kayaking,polo,basketball,video-games,cross-fit,exercise}
@attribute auto_model {92x,E400,RAM,Tahoe,RSX,95,Pathfinder,A5,Camry,F150,A3,Highlander,Neon,MDX,Maxima,Legacy,TL,Impreza,Forrestor,Escape,Corolla,'3 Series',C300,Wrangler,M5,X5,Civic,Passat,Silverado,CRV,93,Accord,X6,Malibu,Fusion,Jetta,ML350,Ultima,'Grand Cherokee'}
@attribute vehicle_claim numeric
@attribute total_claim_amount numeric
@attribute incident_type {'Single Vehicle Collision','Vehicle Theft','Multi-vehicle Collision','Parked Car'}
@attribute authorities_contacted {Police,None,Fire,Other,Ambulance}
@attribute property_claim numeric
@attribute injury_claim numeric
@attribute insured_occupation {craft-repair,machine-op-inspct,sales,armed-forces,tech-support,prof-specialty,other-service,priv-house-serv,exec-managerial,protective-serv,transport-moving,handlers-cleaners,adm-clerical,farming-fishing}
@attribute fraud_reported {Y,N}

@data
'Total Loss',kayaking,F150,57610,90530,'Single Vehicle Collision',Ambulance,16460,16460,tech-support,N
'Minor Damage',movies,E400,5840,8030,'Vehicle Theft',Police,730,1460,priv-house-serv,N
'Minor Damage',movies,TL,51120,63900,'Single Vehicle Collision',Fire,6390,6390,handlers-cleaners,N
'Minor Damage',golf,Tahoe,28980,38640,'Multi-vehicle Collision',Fire,4830,4830,machine-op-inspct,N
'Total Loss',movies,E400,27660,41490,'Multi-vehicle Collision',Other,4610,9220,sales,N
'Minor Damage',hiking,Maxima,57520,79090,'Multi-vehicle Collision',Fire,7190,14380,protective-serv,N
'Major Damage',cross-fit,Neon,61530,87900,'Multi-vehicle Collision',Police,8790,17580,machine-op-inspct,N
'Total Loss',yachting,Wrangler,42720,53400,'Single Vehicle Collision',Ambulance,5340,5340,prof-specialty,N
'Total Loss',basketball,MDX,33110,52030,'Single Vehicle Collision',Fire,9460,9460,machine-op-inspct,N
'Minor Damage',bungie-jumping,93,59680,82060,'Single Vehicle Collision',Ambulance,7460,14920,prof-specialty,N
'Minor Damage',hiking,Maxima,32240,48360,'Single Vehicle Collision',Ambulance,8060,8060,protective-serv,N
'Minor Damage',kayaking,Maxima,34860,52290,'Multi-vehicle Collision',Other,11620,5810,armed-forces,N
'Major Damage',paintball,Wrangler,43400,68200,'Multi-vehicle Collision',Police,12400,12400,protective-serv,Y
'Major Damage',basketball,Wrangler,40500,60750,'Multi-vehicle Collision',Other,6750,13500,craft-repair,Y
'Major Damage',paintball,Passat,41720,65560,'Multi-vehicle Collision',Fire,11920,11920,adm-clerical,Y
'Minor Damage',basketball,C300,44730,70290,'Multi-vehicle Collision',Police,12780,12780,handlers-cleaners,N
'Total Loss',hiking,Forrestor,35000,45000,'Single Vehicle Collision',Ambulance,5000,5000,adm-clerical,N
'Total Loss',sleeping,Impreza,43260,61800,'Multi-vehicle Collision',Fire,6180,12360,prof-specialty,N
'Major Damage',movies,Wrangler,46960,64570,'Multi-vehicle Collision',Ambulance,11740,5870,transport-moving,N
'Minor Damage',reading,Forrestor,49350,70500,'Single Vehicle Collision',Other,14100,7050,adm-clerical,N
'Total Loss',movies,A5,34740,57900,'Multi-vehicle Collision',Police,5790,17370,armed-forces,N
'Minor Damage',video-games,Jetta,42080,57860,'Multi-vehicle Collision',Fire,10520,5260,prof-specialty,N
'Minor Damage',polo,Silverado,25200,37800,'Single Vehicle Collision',Fire,4200,8400,transport-moving,N
'Total Loss',hiking,Highlander,50640,63300,'Single Vehicle Collision',Ambulance,6330,6330,tech-support,N
'Total Loss',paintball,93,30940,44200,'Multi-vehicle Collision',Ambulance,4420,8840,farming-fishing,N
'Minor Damage',yachting,Camry,24640,31680,'Multi-vehicle Collision',Police,3520,3520,machine-op-inspct,N
'Trivial Damage',kayaking,A3,70,100,'Parked Car',Police,20,10,tech-support,N
'Minor Damage',bungie-jumping,Passat,43820,56340,'Single Vehicle Collision',Fire,6260,6260,protective-serv,N
'Total Loss',skydiving,Neon,57060,69740,'Multi-vehicle Collision',Police,6340,6340,sales,N
'Total Loss',exercise,Jetta,40320,60480,'Multi-vehicle Collision',Police,15120,5040,priv-house-serv,N
'Minor Damage',skydiving,Ultima,60660,80880,'Multi-vehicle Collision',Police,13480,6740,tech-support,N
'Total Loss',dancing,Legacy,35920,49390,'Single Vehicle Collision',Fire,4490,8980,handlers-cleaners,N
'Minor Damage',video-games,RAM,46240,69360,'Single Vehicle Collision',Ambulance,11560,11560,armed-forces,N
'Minor Damage',board-games,Malibu,2380,3740,'Vehicle Theft',None,680,680,tech-support,N
'Trivial Damage',bungie-jumping,Ultima,3680,5060,'Parked Car',None,920,460,other-service,N
'Total Loss',chess,X5,26080,35860,'Multi-vehicle Collision',Police,6520,3260,machine-op-inspct,Y
'Major Damage',cross-fit,Fusion,38500,50050,'Multi-vehicle Collision',Ambulance,3850,7700,machine-op-inspct,Y
'Minor Damage',dancing,Camry,42960,59070,'Multi-vehicle Collision',Fire,5370,10740,priv-house-serv,N
'Minor Damage',board-games,Neon,22120,28440,'Multi-vehicle Collision',Fire,3160,3160,adm-clerical,N
'Major Damage',hiking,Civic,28980,45540,'Single Vehicle Collision',Fire,8280,8280,tech-support,Y
'Minor Damage',reading,Passat,27090,38700,'Single Vehicle Collision',Fire,3870,7740,sales,N
'Trivial Damage',paintball,Pathfinder,4240,5830,'Parked Car',None,530,1060,tech-support,N
'Total Loss',cross-fit,X6,42930,57240,'Single Vehicle Collision',Other,9540,4770,prof-specialty,Y
'Total Loss',exercise,Legacy,33600,46200,'Multi-vehicle Collision',Police,8400,4200,armed-forces,N
'Total Loss',kayaking,Camry,46160,57700,'Single Vehicle Collision',Ambulance,5770,5770,farming-fishing,N
'Minor Damage',hiking,95,42120,56160,'Multi-vehicle Collision',Fire,9360,4680,transport-moving,N
'Total Loss',movies,'Grand Cherokee',33300,44400,'Multi-vehicle Collision',Fire,5550,5550,adm-clerical,N
'Major Damage',reading,E400,67440,92730,'Single Vehicle Collision',Ambulance,8430,16860,machine-op-inspct,Y
'Minor Damage',paintball,Corolla,21490,30700,'Single Vehicle Collision',Fire,6140,3070,craft-repair,N
'Major Damage',yachting,Camry,39620,56600,'Single Vehicle Collision',Fire,5660,11320,armed-forces,N
'Trivial Damage',dancing,A3,2640,3960,'Parked Car',None,660,660,armed-forces,N
'Minor Damage',video-games,MDX,24360,34800,'Single Vehicle Collision',Police,6960,3480,transport-moving,N
'Minor Damage',kayaking,Tahoe,63600,79500,'Multi-vehicle Collision',Other,7950,7950,armed-forces,N
'Total Loss',basketball,Malibu,44800,56000,'Single Vehicle Collision',Police,5600,5600,prof-specialty,N
'Minor Damage',chess,Jetta,56980,73260,'Single Vehicle Collision',Ambulance,0,16280,machine-op-inspct,Y
'Trivial Damage',base-jumping,Camry,3600,4950,'Parked Car',None,450,900,craft-repair,N
'Minor Damage',kayaking,95,33600,48000,'Single Vehicle Collision',Ambulance,9600,4800,machine-op-inspct,N
'Major Damage',dancing,Pathfinder,36540,52200,'Single Vehicle Collision',Fire,5220,10440,prof-specialty,N
'Minor Damage',dancing,A3,49200,73800,'Multi-vehicle Collision',Ambulance,12300,12300,protective-serv,N
'Total Loss',base-jumping,A3,54740,78200,'Single Vehicle Collision',Fire,7820,15640,protective-serv,N
'Major Damage',bungie-jumping,93,32200,55200,'Single Vehicle Collision',Ambulance,9200,13800,other-service,Y
'Total Loss',kayaking,Fusion,44380,57060,'Multi-vehicle Collision',Other,6340,6340,handlers-cleaners,N
'Minor Damage',dancing,Malibu,3640,4680,'Vehicle Theft',None,520,520,protective-serv,N
'Minor Damage',cross-fit,MDX,42480,53100,'Single Vehicle Collision',Ambulance,5310,5310,transport-moving,Y
'Minor Damage',video-games,MDX,2560,3520,'Vehicle Theft',None,320,640,prof-specialty,N
'Total Loss',dancing,Maxima,43740,72900,'Multi-vehicle Collision',Ambulance,14580,14580,tech-support,N
'Total Loss',camping,Passat,49490,70700,'Single Vehicle Collision',Police,14140,7070,craft-repair,N
'Minor Damage',bungie-jumping,Pathfinder,43760,60170,'Multi-vehicle Collision',Other,10940,5470,adm-clerical,N
'Major Damage',paintball,Fusion,54400,74800,'Single Vehicle Collision',Other,6800,13600,exec-managerial,Y
'Trivial Damage',paintball,Malibu,2870,4100,'Vehicle Theft',Police,410,820,prof-specialty,N
'Minor Damage',camping,RAM,44720,61490,'Single Vehicle Collision',Other,11180,5590,prof-specialty,N
'Trivial Damage',basketball,A5,5040,7200,'Vehicle Theft',None,1440,720,other-service,N
'Minor Damage',polo,Pathfinder,32800,45100,'Multi-vehicle Collision',Fire,4100,8200,machine-op-inspct,N
'Minor Damage',camping,Civic,48480,66660,'Single Vehicle Collision',Police,6060,12120,craft-repair,N
'Major Damage',basketball,Jetta,53480,76400,'Single Vehicle Collision',Police,7640,15280,prof-specialty,Y
'Total Loss',kayaking,F150,37100,58300,'Single Vehicle Collision',Ambulance,10600,10600,craft-repair,N
'Total Loss',skydiving,Passat,41680,57310,'Single Vehicle Collision',Police,10420,5210,transport-moving,N
'Minor Damage',movies,Impreza,41300,53100,'Single Vehicle Collision',Fire,5900,5900,priv-house-serv,N
'Total Loss',paintball,Forrestor,52290,74700,'Multi-vehicle Collision',Ambulance,7470,14940,priv-house-serv,N
'Major Damage',golf,A5,42350,60500,'Multi-vehicle Collision',Fire,6050,12100,prof-specialty,N
'Total Loss',chess,Wrangler,61760,84920,'Multi-vehicle Collision',Other,15440,7720,protective-serv,Y
'Total Loss',hiking,Neon,44400,61050,'Single Vehicle Collision',Police,11100,5550,adm-clerical,N
'Major Damage',movies,A5,50240,69080,'Multi-vehicle Collision',Police,6280,12560,exec-managerial,Y
'Minor Damage',paintball,Pathfinder,3420,4560,'Vehicle Theft',None,380,760,prof-specialty,N
'Total Loss',skydiving,F150,45200,67800,'Multi-vehicle Collision',Police,11300,11300,machine-op-inspct,N
'Minor Damage',reading,Legacy,3920,5600,'Vehicle Theft',Police,560,1120,other-service,N
'Minor Damage',basketball,ML350,6300,9000,'Vehicle Theft',None,1800,900,other-service,N
'Total Loss',kayaking,Pathfinder,56880,85320,'Single Vehicle Collision',Police,7110,21330,transport-moving,N
'Trivial Damage',golf,A5,4320,5940,'Vehicle Theft',None,1080,540,machine-op-inspct,Y
'Major Damage',movies,M5,37360,51370,'Multi-vehicle Collision',Fire,4670,9340,armed-forces,Y
'Major Damage',reading,Neon,36120,51600,'Single Vehicle Collision',Police,5160,10320,protective-serv,N
'Trivial Damage',golf,Malibu,4200,5400,'Parked Car',None,600,600,farming-fishing,N
'Minor Damage',reading,95,38010,48870,'Multi-vehicle Collision',Fire,5430,5430,craft-repair,N
'Minor Damage',reading,X5,3870,5590,'Vehicle Theft',Police,860,860,tech-support,N
'Major Damage',camping,Corolla,48090,54960,'Multi-vehicle Collision',Other,0,6870,protective-serv,Y
'Minor Damage',video-games,Wrangler,27860,39800,'Multi-vehicle Collision',Police,3980,7960,prof-specialty,N
'Major Damage',chess,Fusion,43680,56160,'Multi-vehicle Collision',Ambulance,6240,6240,armed-forces,Y
'Total Loss',golf,Corolla,36890,52700,'Single Vehicle Collision',Fire,10540,5270,priv-house-serv,N
'Minor Damage',base-jumping,Wrangler,53340,68580,'Multi-vehicle Collision',Fire,7620,7620,sales,N
'Major Damage',board-games,Jetta,58410,90860,'Single Vehicle Collision',Ambulance,19470,12980,craft-repair,Y
'Trivial Damage',bungie-jumping,93,4560,5700,'Parked Car',Police,570,570,priv-house-serv,N
'Total Loss',golf,RSX,77670,94930,'Multi-vehicle Collision',Police,8630,8630,prof-specialty,N
'Major Damage',video-games,A5,32760,46800,'Single Vehicle Collision',Ambulance,9360,4680,farming-fishing,Y
'Total Loss',polo,ML350,42240,56320,'Multi-vehicle Collision',Fire,7040,7040,exec-managerial,N
'Minor Damage',chess,Pathfinder,60720,83490,'Single Vehicle Collision',Fire,15180,7590,handlers-cleaners,N
'Total Loss',golf,95,46320,57900,'Multi-vehicle Collision',Police,5790,5790,machine-op-inspct,N
'Total Loss',kayaking,A3,38430,49410,'Multi-vehicle Collision',Fire,5490,5490,armed-forces,N
'Minor Damage',reading,Impreza,52960,66200,'Multi-vehicle Collision',Fire,6620,6620,tech-support,N
'Minor Damage',reading,Camry,42720,64080,'Single Vehicle Collision',Fire,10680,10680,priv-house-serv,N
'Minor Damage',dancing,Pathfinder,29750,42500,'Multi-vehicle Collision',Other,4250,8500,tech-support,N
'Total Loss',bungie-jumping,Legacy,35600,48950,'Multi-vehicle Collision',Other,4450,8900,exec-managerial,N
'Minor Damage',golf,MDX,37450,58850,'Multi-vehicle Collision',Other,10700,10700,adm-clerical,N
'Minor Damage',golf,Pathfinder,65920,82400,'Multi-vehicle Collision',Other,8240,8240,other-service,N
'Minor Damage',bungie-jumping,Impreza,40680,54240,'Single Vehicle Collision',Ambulance,6780,6780,other-service,N
'Minor Damage',video-games,Wrangler,59360,74200,'Multi-vehicle Collision',Other,7420,7420,armed-forces,N
'Total Loss',base-jumping,Camry,36890,47430,'Single Vehicle Collision',Fire,5270,5270,priv-house-serv,N
'Major Damage',polo,RAM,47740,68200,'Single Vehicle Collision',Fire,6820,13640,priv-house-serv,Y
'Minor Damage',exercise,TL,49700,63900,'Single Vehicle Collision',Fire,7100,7100,armed-forces,N
'Total Loss',skydiving,RAM,41510,59300,'Multi-vehicle Collision',Ambulance,5930,11860,protective-serv,N
'Minor Damage',chess,Forrestor,46830,66900,'Multi-vehicle Collision',Other,13380,6690,priv-house-serv,Y
'Major Damage',skydiving,F150,29680,40810,'Multi-vehicle Collision',Police,7420,3710,farming-fishing,Y
'Total Loss',skydiving,CRV,52780,75400,'Single Vehicle Collision',Fire,7540,15080,exec-managerial,N
'Minor Damage',bungie-jumping,Wrangler,2940,4200,'Parked Car',None,840,420,prof-specialty,N
'Major Damage',chess,F150,40950,52650,'Multi-vehicle Collision',Ambulance,5850,5850,machine-op-inspct,Y
'Major Damage',kayaking,Malibu,26880,42240,'Single Vehicle Collision',Ambulance,7680,7680,armed-forces,N
'Minor Damage',reading,ML350,46270,59490,'Single Vehicle Collision',Other,6610,6610,sales,N
'Major Damage',base-jumping,Wrangler,35360,44200,'Single Vehicle Collision',Ambulance,4420,4420,tech-support,Y
'Trivial Damage',reading,93,5390,7700,'Vehicle Theft',Police,1540,770,protective-serv,N
'Total Loss',exercise,93,40960,61440,'Multi-vehicle Collision',Other,10240,10240,priv-house-serv,N
'Major Damage',sleeping,Silverado,38080,54400,'Multi-vehicle Collision',Fire,10880,5440,handlers-cleaners,Y
'Total Loss',polo,E400,39040,58560,'Single Vehicle Collision',Other,9760,9760,priv-house-serv,N
'Major Damage',video-games,RAM,53840,67300,'Single Vehicle Collision',Fire,6730,6730,priv-house-serv,Y
'Major Damage',skydiving,X5,26720,36740,'Single Vehicle Collision',Fire,6680,3340,farming-fishing,Y
'Total Loss',dancing,'3 Series',54530,85690,'Single Vehicle Collision',Police,15580,15580,machine-op-inspct,N
'Major Damage',bungie-jumping,A5,29890,34160,'Multi-vehicle Collision',Ambulance,4270,0,exec-managerial,Y
'Minor Damage',paintball,M5,40880,61320,'Single Vehicle Collision',Fire,10220,10220,transport-moving,N
'Total Loss',paintball,'3 Series',53120,79680,'Multi-vehicle Collision',Police,13280,13280,other-service,N
'Total Loss',exercise,A3,48020,61740,'Single Vehicle Collision',Fire,6860,6860,craft-repair,N
'Minor Damage',exercise,Civic,5120,6400,'Parked Car',None,640,640,armed-forces,N
'Major Damage',chess,TL,42420,60600,'Single Vehicle Collision',Fire,6060,12120,other-service,N
'Major Damage',sleeping,Jetta,40960,56320,'Multi-vehicle Collision',Ambulance,5120,10240,craft-repair,N
'Total Loss',sleeping,Legacy,38000,52250,'Single Vehicle Collision',Ambulance,4750,9500,priv-house-serv,N
'Total Loss',camping,95,37730,53900,'Multi-vehicle Collision',Other,10780,5390,exec-managerial,N
'Trivial Damage',yachting,Wrangler,1980,2640,'Vehicle Theft',None,440,220,adm-clerical,N
'Minor Damage',sleeping,Neon,6210,8970,'Vehicle Theft',None,1380,1380,transport-moving,N
'Minor Damage',movies,Impreza,4000,6000,'Parked Car',None,1000,1000,priv-house-serv,N
'Major Damage',board-games,92x,38640,55200,'Multi-vehicle Collision',Fire,5520,11040,armed-forces,Y
'Trivial Damage',board-games,92x,5280,7260,'Parked Car',None,1320,660,exec-managerial,N
'Minor Damage',sleeping,Wrangler,41160,64680,'Multi-vehicle Collision',Police,11760,11760,exec-managerial,N
'Major Damage',basketball,Malibu,47360,59200,'Single Vehicle Collision',Police,11840,0,sales,N
'Minor Damage',paintball,92x,3290,4700,'Vehicle Theft',None,940,470,craft-repair,N
'Total Loss',video-games,C300,55520,69400,'Single Vehicle Collision',Other,6940,6940,sales,N
'Total Loss',sleeping,Pathfinder,32400,40500,'Single Vehicle Collision',Police,4050,4050,exec-managerial,N
'Minor Damage',skydiving,Accord,45000,60000,'Multi-vehicle Collision',Fire,10000,5000,handlers-cleaners,N
'Minor Damage',basketball,Jetta,44880,67320,'Single Vehicle Collision',Other,11220,11220,armed-forces,N
'Total Loss',movies,95,58870,75690,'Multi-vehicle Collision',Other,8410,8410,tech-support,N
'Major Damage',paintball,Silverado,51440,64300,'Multi-vehicle Collision',Fire,6430,6430,adm-clerical,Y
'Major Damage',camping,X5,51520,64400,'Multi-vehicle Collision',Police,6440,6440,priv-house-serv,N
'Minor Damage',paintball,92x,64720,97080,'Multi-vehicle Collision',Fire,16180,16180,priv-house-serv,N
'Minor Damage',base-jumping,Civic,4500,5500,'Vehicle Theft',Police,500,500,priv-house-serv,N
'Total Loss',skydiving,Wrangler,21490,30700,'Multi-vehicle Collision',Other,6140,3070,transport-moving,N
'Minor Damage',dancing,Pathfinder,26040,33480,'Single Vehicle Collision',Police,3720,3720,sales,N
'Total Loss',kayaking,Wrangler,43620,65430,'Multi-vehicle Collision',Police,7270,14540,exec-managerial,N
'Major Damage',kayaking,RSX,31040,42680,'Multi-vehicle Collision',Police,7760,3880,exec-managerial,Y
'Minor Damage',movies,CRV,71820,87780,'Single Vehicle Collision',Fire,7980,7980,craft-repair,N
'Major Damage',cross-fit,Accord,43680,72800,'Multi-vehicle Collision',Fire,14560,14560,transport-moving,N
'Major Damage',chess,C300,63280,71190,'Single Vehicle Collision',Fire,7910,0,sales,Y
'Trivial Damage',golf,Civic,2800,3600,'Vehicle Theft',None,400,400,adm-clerical,N
'Major Damage',chess,C300,41760,62640,'Single Vehicle Collision',Other,10440,10440,tech-support,N
'Minor Damage',exercise,Corolla,50640,69630,'Multi-vehicle Collision',Ambulance,6330,12660,prof-specialty,N
'Minor Damage',chess,RAM,55280,76010,'Multi-vehicle Collision',Police,6910,13820,protective-serv,Y
'Total Loss',base-jumping,MDX,32160,44220,'Single Vehicle Collision',Other,4020,8040,transport-moving,N
'Minor Damage',camping,M5,41600,57200,'Multi-vehicle Collision',Other,10400,5200,other-service,N
'Minor Damage',polo,Ultima,1960,3080,'Vehicle Theft',Police,560,560,priv-house-serv,N
'Total Loss',hiking,RSX,55120,75790,'Single Vehicle Collision',Other,6890,13780,other-service,N
'Minor Damage',skydiving,Accord,23760,32670,'Multi-vehicle Collision',Ambulance,2970,5940,farming-fishing,N
'Minor Damage',video-games,Wrangler,2580,3870,'Vehicle Theft',Police,860,430,adm-clerical,N
'Total Loss',video-games,X6,66560,91520,'Single Vehicle Collision',Fire,16640,8320,transport-moving,Y
'Major Damage',bungie-jumping,RAM,54320,74690,'Single Vehicle Collision',Other,13580,6790,prof-specialty,Y
'Trivial Damage',polo,A5,3360,4620,'Vehicle Theft',Police,840,420,priv-house-serv,N
'Major Damage',yachting,Camry,35000,55000,'Single Vehicle Collision',Police,10000,10000,sales,Y
'Major Damage',sleeping,93,39600,59400,'Multi-vehicle Collision',Police,6600,13200,adm-clerical,Y
'Total Loss',sleeping,Ultima,49120,55260,'Multi-vehicle Collision',Fire,0,6140,sales,N
'Minor Damage',polo,Civic,35980,51400,'Multi-vehicle Collision',Other,10280,5140,craft-repair,N
'Minor Damage',reading,Neon,32520,48780,'Multi-vehicle Collision',Ambulance,10840,5420,machine-op-inspct,N
'Major Damage',camping,Highlander,40740,52380,'Multi-vehicle Collision',Ambulance,5820,5820,armed-forces,N
'Total Loss',cross-fit,Highlander,47320,74360,'Multi-vehicle Collision',Other,13520,13520,priv-house-serv,Y
'Minor Damage',polo,CRV,42720,53400,'Single Vehicle Collision',Police,5340,5340,protective-serv,N
'Total Loss',hiking,'Grand Cherokee',43080,71800,'Single Vehicle Collision',Police,14360,14360,protective-serv,N
'Major Damage',exercise,Corolla,59710,68240,'Single Vehicle Collision',Other,0,8530,prof-specialty,Y
'Major Damage',bungie-jumping,RAM,38850,61050,'Multi-vehicle Collision',Other,11100,11100,other-service,Y
'Minor Damage',movies,Impreza,3870,5590,'Parked Car',None,860,860,craft-repair,N
'Major Damage',exercise,Passat,29820,46860,'Multi-vehicle Collision',Fire,8520,8520,machine-op-inspct,N
'Minor Damage',base-jumping,Passat,2730,4290,'Parked Car',None,780,780,other-service,N
'Minor Damage',bungie-jumping,A3,54950,78500,'Multi-vehicle Collision',Police,7850,15700,armed-forces,N
'Total Loss',movies,'Grand Cherokee',55090,70830,'Single Vehicle Collision',Police,7870,7870,prof-specialty,N
'Total Loss',yachting,Forrestor,45360,68040,'Multi-vehicle Collision',Police,7560,15120,handlers-cleaners,N
'Major Damage',hiking,A5,47700,63600,'Single Vehicle Collision',Fire,10600,5300,other-service,Y
'Minor Damage',board-games,Legacy,33880,43560,'Single Vehicle Collision',Other,4840,4840,sales,N
'Total Loss',exercise,Forrestor,40560,60840,'Single Vehicle Collision',Police,6760,13520,sales,N
'Total Loss',bungie-jumping,Escape,45440,68160,'Multi-vehicle Collision',Police,11360,11360,tech-support,N
'Minor Damage',video-games,Camry,3760,5170,'Parked Car',None,470,940,transport-moving,N
'Total Loss',reading,Maxima,46160,57700,'Single Vehicle Collision',Ambulance,5770,5770,protective-serv,N
'Total Loss',sleeping,A3,59680,89520,'Multi-vehicle Collision',Other,14920,14920,handlers-cleaners,N
'Minor Damage',reading,Jetta,3360,4620,'Vehicle Theft',None,840,420,protective-serv,N
'Minor Damage',yachting,CRV,35140,45180,'Single Vehicle Collision',Ambulance,5020,5020,craft-repair,N
'Total Loss',movies,Maxima,31570,45100,'Single Vehicle Collision',Other,4510,9020,craft-repair,N
'Total Loss',golf,Camry,52920,83160,'Multi-vehicle Collision',Police,15120,15120,machine-op-inspct,N
'Minor Damage',skydiving,Silverado,54810,86130,'Single Vehicle Collision',Police,15660,15660,priv-house-serv,N
'Major Damage',sleeping,RAM,33600,48000,'Multi-vehicle Collision',Fire,4800,9600,priv-house-serv,N
'Minor Damage',movies,92x,2100,3300,'Vehicle Theft',Police,600,600,protective-serv,N
'Minor Damage',board-games,Camry,40040,57200,'Multi-vehicle Collision',Ambulance,5720,11440,protective-serv,N
'Trivial Damage',bungie-jumping,MDX,5520,7590,'Vehicle Theft',Police,690,1380,adm-clerical,N
'Total Loss',board-games,Silverado,55440,80080,'Single Vehicle Collision',Police,12320,12320,transport-moving,N
'Minor Damage',skydiving,'3 Series',3360,4800,'Vehicle Theft',Police,480,960,protective-serv,N
'Minor Damage',cross-fit,Jetta,2730,3900,'Vehicle Theft',Police,780,390,craft-repair,Y
'Minor Damage',camping,'3 Series',72320,90400,'Single Vehicle Collision',Other,9040,9040,handlers-cleaners,N
'Minor Damage',kayaking,'Grand Cherokee',44030,62900,'Multi-vehicle Collision',Other,12580,6290,sales,N
'Major Damage',base-jumping,Ultima,37940,54200,'Single Vehicle Collision',Police,10840,5420,protective-serv,Y
'Major Damage',paintball,MDX,36260,51800,'Multi-vehicle Collision',Police,10360,5180,tech-support,N
'Trivial Damage',movies,MDX,4800,6600,'Vehicle Theft',Police,1200,600,adm-clerical,N
'Total Loss',movies,Escape,53920,74140,'Single Vehicle Collision',Fire,6740,13480,tech-support,N
'Total Loss',paintball,C300,47460,67800,'Single Vehicle Collision',Fire,6780,13560,priv-house-serv,N
'Major Damage',exercise,'Grand Cherokee',38780,55400,'Single Vehicle Collision',Fire,11080,5540,other-service,Y
'Major Damage',reading,Impreza,34370,49100,'Single Vehicle Collision',Ambulance,4910,9820,tech-support,Y
'Major Damage',video-games,Tahoe,75600,98280,'Multi-vehicle Collision',Police,7560,15120,transport-moving,Y
'Total Loss',polo,Escape,48400,66550,'Multi-vehicle Collision',Fire,12100,6050,protective-serv,N
'Major Damage',board-games,RSX,49280,70400,'Multi-vehicle Collision',Fire,7040,14080,craft-repair,N
'Major Damage',board-games,Impreza,39960,53280,'Multi-vehicle Collision',Ambulance,8880,4440,adm-clerical,Y
'Total Loss',golf,Neon,53830,84590,'Single Vehicle Collision',Other,15380,15380,craft-repair,N
'Total Loss',base-jumping,95,34720,54560,'Single Vehicle Collision',Other,9920,9920,farming-fishing,N
'Minor Damage',camping,Forrestor,67230,82170,'Single Vehicle Collision',Ambulance,7470,7470,handlers-cleaners,N
'Total Loss',bungie-jumping,Neon,42770,61100,'Multi-vehicle Collision',Police,12220,6110,handlers-cleaners,N
'Minor Damage',cross-fit,M5,36330,51900,'Multi-vehicle Collision',Police,10380,5190,exec-managerial,Y
'Trivial Damage',hiking,Legacy,2580,3440,'Parked Car',Police,430,430,adm-clerical,N
'Total Loss',cross-fit,Corolla,34260,51390,'Single Vehicle Collision',Ambulance,11420,5710,other-service,N
'Major Damage',base-jumping,Wrangler,61520,76900,'Single Vehicle Collision',Other,7690,7690,other-service,N
'Minor Damage',kayaking,Highlander,53900,77000,'Single Vehicle Collision',Other,7700,15400,handlers-cleaners,Y
'Major Damage',yachting,Tahoe,41760,60320,'Single Vehicle Collision',Other,9280,9280,craft-repair,Y
'Minor Damage',dancing,Civic,42490,60700,'Single Vehicle Collision',Fire,6070,12140,armed-forces,N
'Total Loss',movies,Malibu,47360,53280,'Multi-vehicle Collision',Police,0,5920,exec-managerial,N
'Minor Damage',movies,'Grand Cherokee',26670,34290,'Single Vehicle Collision',Fire,3810,3810,prof-specialty,N
'Total Loss',basketball,TL,41760,46980,'Single Vehicle Collision',Other,5220,0,other-service,N
'Major Damage',camping,Pathfinder,25690,36700,'Multi-vehicle Collision',Fire,7340,3670,exec-managerial,N
'Total Loss',camping,Passat,48160,60200,'Multi-vehicle Collision',Other,6020,6020,exec-managerial,N
'Minor Damage',bungie-jumping,Civic,4860,6480,'Parked Car',None,1080,540,sales,N
'Minor Damage',paintball,Accord,61040,87200,'Single Vehicle Collision',Fire,8720,17440,craft-repair,N
'Major Damage',sleeping,Passat,72320,108480,'Single Vehicle Collision',Fire,18080,18080,prof-specialty,N
'Minor Damage',bungie-jumping,Impreza,52500,67500,'Multi-vehicle Collision',Police,7500,7500,armed-forces,N
'Major Damage',base-jumping,A5,36540,46980,'Single Vehicle Collision',Other,5220,5220,handlers-cleaners,N
'Minor Damage',kayaking,E400,3680,5060,'Parked Car',Police,920,460,sales,N
